LONGITUDE,UNITS,AVAILABILITYCOUNT,DETAILURL,LISTINGSTATUS,BUILDINGNAME,ADDRESS,LATITUDE,ISBUILDING,BATHROOMS,PROPERTYTYPE,LIVINGAREA,PRICE,BEDROOMS,DAYSONZILLOW,DATEPRICECHANGED,COUNTRY,CURRENCY,BEDS,PRICE_1,INGESTION_DATE
-86.7464,,,/HOMEDETAILS/1035A-GRANADA-AVE-A-NASHVILLE-TN-37206/457908392_ZPID/,FOR_RENT,,"1035A GRANADA AVE #A, NASHVILLE, TN 37206",36.18834,,1.0,APARTMENT,700.0,1600.0,2.0,0.0,,USA,USD,,,20251102
-86.752686,,,/HOMEDETAILS/942-RUSSELL-ST-C-NASHVILLE-TN-37206/2068779351_ZPID/,FOR_RENT,,"942 RUSSELL ST #C, NASHVILLE, TN 37206",36.174896,,1.0,APARTMENT,950.0,1775.0,1.0,2.0,,USA,USD,,,20251102
-86.76498,,19.0,/APARTMENTS/NASHVILLE-TN/EASTSIDE-HEIGHTS/CH3FFN/,FOR_RENT,EASTSIDE HEIGHTS,"120 S 5TH ST, NASHVILLE, TN",36.171116,TRUE,,,,,,,,,,1,"$1,633+",20251102
-86.71015,,,/HOMEDETAILS/2512-COLBERT-DR-NASHVILLE-TN-37206/248418891_ZPID/,FOR_RENT,,"2512 COLBERT DR, NASHVILLE, TN 37206",36.19068,,3.0,SINGLE_FAMILY,1766.0,2795.0,3.0,9.0,1761980400000.0,USA,USD,,,20251102
-86.73143,,,/HOMEDETAILS/2027-BENJAMIN-ST-NASHVILLE-TN-37206/41103559_ZPID/,FOR_RENT,,"2027 BENJAMIN ST, NASHVILLE, TN 37206",36.186207,,2.0,SINGLE_FAMILY,1848.0,2800.0,4.0,10.0,,USA,USD,,,20251102
-86.76192,,,/HOMEDETAILS/538-FATHERLAND-ST-NASHVILLE-TN-37206/177688144_ZPID/,FOR_RENT,,"538 FATHERLAND ST, NASHVILLE, TN 37206",36.17012,,1.0,SINGLE_FAMILY,720.0,3000.0,2.0,10.0,,USA,USD,,,20251102
-86.75014,,27.0,/APARTMENTS/NASHVILLE-TN/THE-CLEO/CKBMD5/,FOR_RENT,THE CLEO,"1034 W EASTLAND AVE, NASHVILLE, TN",36.183807,TRUE,,,,,,,,,,1,"$1,610+",20251102
-86.75117,,,/HOMEDETAILS/1213-CLINE-AVE-A-NASHVILLE-TN-37206/2098211379_ZPID/,FOR_RENT,,"1213 CLINE AVE #A, NASHVILLE, TN 37206",36.19252,,1.0,APARTMENT,1095.0,1700.0,2.0,10.0,,USA,USD,,,20251102
-86.76451,,16.0,"/B/BUILDING/36.173386,-86.76451_LL/",FOR_RENT,,"2115 YEAMAN PL, NASHVILLE, TN",36.173386,TRUE,,,,,,,,,,1,"$1,700+",20251102
-86.720856,,,/HOMEDETAILS/2407-LAZENBY-DR-NASHVILLE-TN-37206/41106158_ZPID/,FOR_RENT,,"2407 LAZENBY DR, NASHVILLE, TN 37206",36.175014,,1.0,SINGLE_FAMILY,1150.0,2500.0,3.0,11.0,1759388400000.0,USA,USD,,,20251102
-86.75834,,2.0,/APARTMENTS/NASHVILLE-TN/MOSLEY-ON-6TH/CHFYKX/,FOR_RENT,MOSLEY ON 6TH,"802 S 6TH ST, NASHVILLE, TN",36.16496,TRUE,,,,,,,,,,3,"$2,656+",20251102
-86.75594,,3.0,/APARTMENTS/NASHVILLE-TN/AMPLIFY-ON-MAIN/63FN5G/,FOR_RENT,AMPLIFY ON MAIN,"30 MCFERRIN AVE, NASHVILLE, TN",36.176857,TRUE,,,,,,,,,,2,"$2,050+",20251102
-86.73191,,,/HOMEDETAILS/1804-CAHAL-AVE-NASHVILLE-TN-37206/41089102_ZPID/,FOR_RENT,,"1804 CAHAL AVE, NASHVILLE, TN 37206",36.195343,,3.0,SINGLE_FAMILY,2280.0,2695.0,3.0,17.0,1761116400000.0,USA,USD,,,20251102
-86.7308,,,/HOMEDETAILS/2028-GREENWOOD-CIR-A-NASHVILLE-TN-37206/457399468_ZPID/,FOR_RENT,,"2028 GREENWOOD CIR #A, NASHVILLE, TN 37206",36.189617,,1.0,APARTMENT,925.0,1625.0,2.0,18.0,1761462000000.0,USA,USD,,,20251102
-86.75724,,3.0,/APARTMENTS/NASHVILLE-TN/MANNING-PLACE/CJGVFC/,FOR_RENT,MANNING PLACE,"607 LENORE ST, NASHVILLE, TN",36.164013,TRUE,,,,,,,,,,3,"$1,650+",20251102
-86.7447,,,/HOMEDETAILS/1114-SHARPE-AVE-FLOOR-A-1-NASHVILLE-TN-37206/2072490492_ZPID/,FOR_RENT,,"1114 SHARPE AVE FLOOR A-1, NASHVILLE, TN 37206",36.188618,,1.0,APARTMENT,1000.0,2500.0,2.0,19.0,,USA,USD,,,20251102
-86.73559,,,/HOMEDETAILS/2004-LONG-AVE-NASHVILLE-TN-37206/41118436_ZPID/,FOR_RENT,,"2004 LONG AVE, NASHVILLE, TN 37206",36.16852,,1.0,SINGLE_FAMILY,1303.0,2975.0,3.0,23.0,1760857200000.0,USA,USD,,,20251102
-86.75444,,,/HOMEDETAILS/934-MCFERRIN-AVE-ID1049676P-NASHVILLE-TN-37206/450852474_ZPID/,FOR_RENT,,"934 MCFERRIN AVE #ID1049676P, NASHVILLE, TN 37206",36.185886,,1.0,APARTMENT,742.0,1789.0,1.0,23.0,1761980400000.0,USA,USD,,,20251102
-86.75219,,,/HOMEDETAILS/1005-SEVIER-ST-NASHVILLE-TN-37206/41117272_ZPID/,FOR_RENT,,"1005 SEVIER ST, NASHVILLE, TN 37206",36.168293,,2.0,SINGLE_FAMILY,950.0,1845.0,3.0,23.0,1761548400000.0,USA,USD,,,20251102
-86.75157,,,/HOMEDETAILS/616-S-11TH-ST-NASHVILLE-TN-37206/41117784_ZPID/,FOR_RENT,,"616 S 11TH ST, NASHVILLE, TN 37206",36.16834,,2.0,SINGLE_FAMILY,1036.0,2600.0,2.0,24.0,1760425200000.0,USA,USD,,,20251102
-86.72836,,,/HOMEDETAILS/1310-PORTER-RD-B-NASHVILLE-TN-37206/457239705_ZPID/,FOR_RENT,,"1310 PORTER RD #B, NASHVILLE, TN 37206",36.190857,,2.0,APARTMENT,1374.0,2399.0,2.0,26.0,1760511600000.0,USA,USD,,,20251102
-86.71749,,,/HOMEDETAILS/1912-SHERIDAN-RD-NASHVILLE-TN-37206/41089335_ZPID/,FOR_RENT,,"1912 SHERIDAN RD, NASHVILLE, TN 37206",36.192955,,2.0,SINGLE_FAMILY,1162.0,2200.0,3.0,26.0,,USA,USD,,,20251102
-86.71458,,,/HOMEDETAILS/2501-CARTER-AVE-NASHVILLE-TN-37206/41102688_ZPID/,FOR_RENT,,"2501 CARTER AVE, NASHVILLE, TN 37206",36.18834,,2.0,SINGLE_FAMILY,1592.0,2749.0,3.0,26.0,,USA,USD,,,20251102
-86.73515,,,/HOMEDETAILS/304-MANCHESTER-AVE-304A-NASHVILLE-TN-37206/457229525_ZPID/,FOR_RENT,,"304 MANCHESTER AVE #304A, NASHVILLE, TN 37206",36.18675,,1.0,APARTMENT,900.0,1800.0,2.0,26.0,1761030000000.0,USA,USD,,,20251102
-86.75124,,,/HOMEDETAILS/2418-INGA-ST-UNIT-A-NASHVILLE-TN-37206/440178992_ZPID/,FOR_RENT,,"2418 INGA ST UNIT A, NASHVILLE, TN 37206",36.195343,,2.0,SINGLE_FAMILY,1233.0,2260.0,3.0,30.0,1761375600000.0,USA,USD,,,20251102
-86.750145,,,/HOMEDETAILS/812-S-12TH-ST-NASHVILLE-TN-37206/104463354_ZPID/,FOR_RENT,,"812 S 12TH ST, NASHVILLE, TN 37206",36.16524,,1.0,SINGLE_FAMILY,870.0,1895.0,2.0,32.0,1761548400000.0,USA,USD,,,20251102
-86.751205,,,/HOMEDETAILS/920-WEST-AVE-NASHVILLE-TN-37206/41088492_ZPID/,FOR_RENT,,"920 WEST AVE, NASHVILLE, TN 37206",36.193886,,1.0,SINGLE_FAMILY,1300.0,1900.0,2.0,33.0,1760511600000.0,USA,USD,,,20251102
-86.75911,,,/HOMEDETAILS/610-N-9TH-ST-NASHVILLE-TN-37206/41100516_ZPID/,FOR_RENT,,"610 N 9TH ST, NASHVILLE, TN 37206",36.181335,,2.0,SINGLE_FAMILY,1030.0,1975.0,3.0,33.0,1761202800000.0,USA,USD,,,20251102
-86.729805,,,/HOMEDETAILS/720-POWERS-AVE-NASHVILLE-TN-37206/41103691_ZPID/,FOR_RENT,,"720 POWERS AVE, NASHVILLE, TN 37206",36.184082,,1.0,SINGLE_FAMILY,1149.0,2095.0,2.0,34.0,1760857200000.0,USA,USD,,,20251102
-86.742874,,,/HOMEDETAILS/1007B-N-14TH-ST-NASHVILLE-TN-37206/71265413_ZPID/,FOR_RENT,,"1007B N 14TH ST, NASHVILLE, TN 37206",36.187344,,2.0,SINGLE_FAMILY,1100.0,2250.0,2.0,34.0,1760511600000.0,USA,USD,,,20251102
-86.73088,,,/APARTMENTS/NASHVILLE-TN/HERITAGE-EAST/CMPFW5/,FOR_RENT,,"HERITAGE EAST, 821 PORTER RD APT 312, NASHVILLE, TN 37206",36.185074,,2.0,APARTMENT,945.0,1975.0,1.0,38.0,,USA,USD,,,20251102
-86.73135,,,/HOMEDETAILS/2022B-GREENWOOD-CIR-NASHVILLE-TN-37206/2098812658_ZPID/,FOR_RENT,,"2022B GREENWOOD CIR, NASHVILLE, TN 37206",36.189713,,4.0,SINGLE_FAMILY,1796.0,2995.0,3.0,38.0,1761116400000.0,USA,USD,,,20251102
-86.73928,,,/HOMEDETAILS/1206-CHESTER-AVE-A-NASHVILLE-TN-37206/2087959149_ZPID/,FOR_RENT,,"1206 CHESTER AVE #A, NASHVILLE, TN 37206",36.1949,,1.0,APARTMENT,700.0,1650.0,2.0,39.0,1761721200000.0,USA,USD,,,20251102
-86.75856,,,/HOMEDETAILS/102-NEILL-AVE-102-NASHVILLE-TN-37206/456919342_ZPID/,FOR_RENT,,"102 NEILL AVE #102, NASHVILLE, TN 37206",36.17691,,3.0,TOWNHOUSE,3000.0,2950.0,4.0,39.0,1761202800000.0,USA,USD,,,20251102
-86.727425,,,/HOMEDETAILS/809-WASHINGTON-AVE-NASHVILLE-TN-37206/41103623_ZPID/,FOR_RENT,,"809 WASHINGTON AVE, NASHVILLE, TN 37206",36.185547,,1.0,SINGLE_FAMILY,768.0,2300.0,2.0,40.0,,USA,USD,,,20251102
-86.75331,,,/HOMEDETAILS/911-CHICAMAUGA-AVE-A-NASHVILLE-TN-37206/456822801_ZPID/,FOR_RENT,,"911 CHICAMAUGA AVE #A, NASHVILLE, TN 37206",36.185493,,1.0,TOWNHOUSE,975.0,1750.0,2.0,44.0,,USA,USD,,,20251102
-86.757195,,,/HOMEDETAILS/914-SMILEY-ST-NASHVILLE-TN-37206/338553686_ZPID/,FOR_RENT,,"914 SMILEY ST, NASHVILLE, TN 37206",36.179554,,3.0,TOWNHOUSE,1709.0,2595.0,3.0,45.0,,USA,USD,,,20251102
-86.754906,,,/HOMEDETAILS/722-MCFERRIN-AVE-ID1043959P-NASHVILLE-TN-37206/450852391_ZPID/,FOR_RENT,,"722 MCFERRIN AVE #ID1043959P, NASHVILLE, TN 37206",36.183945,,2.0,APARTMENT,947.0,2838.0,2.0,50.0,1761980400000.0,USA,USD,,,20251102
-86.736824,,,/HOMEDETAILS/1104-MATTHEWS-PL-NASHVILLE-TN-37206/41102176_ZPID/,FOR_RENT,,"1104 MATTHEWS PL, NASHVILLE, TN 37206",36.18825,,1.0,SINGLE_FAMILY,912.0,2650.0,2.0,54.0,1759820400000.0,USA,USD,,,20251102
-86.74097,,,/HOMEDETAILS/1620-BOSCOBEL-ST-NASHVILLE-TN-37206/41105890_ZPID/,FOR_RENT,,"1620 BOSCOBEL ST, NASHVILLE, TN 37206",36.171013,,2.0,SINGLE_FAMILY,1200.0,2500.0,3.0,57.0,1760770800000.0,USA,USD,,,20251102
-86.725266,,,/HOMEDETAILS/1507-PORTER-RD-203-NASHVILLE-TN-37206/337059677_ZPID/,FOR_RENT,,"1507 PORTER RD #203, NASHVILLE, TN 37206",36.194523,,1.0,APARTMENT,783.0,1795.0,1.0,58.0,1757055600000.0,USA,USD,,,20251102
-86.750946,,,/HOMEDETAILS/1104-DEW-ST-A-NASHVILLE-TN-37206/455950567_ZPID/,FOR_RENT,,"1104 DEW ST #A, NASHVILLE, TN 37206",36.16594,,1.0,TOWNHOUSE,800.0,1650.0,2.0,79.0,1759388400000.0,USA,USD,,,20251102
