LONGITUDE,UNITS,AVAILABILITYCOUNT,DETAILURL,LISTINGSTATUS,BUILDINGNAME,ADDRESS,LATITUDE,ISBUILDING,BATHROOMS,PROPERTYTYPE,LIVINGAREA,PRICE,BEDROOMS,DAYSONZILLOW,DATEPRICECHANGED,COUNTRY,CURRENCY,BEDS,PRICE_1,INGESTION_DATE
-86.75359,,,/HOMEDETAILS/1402-JEWELL-ST-NASHVILLE-TN-37207/2070153671_ZPID/,FOR_RENT,,"1402 JEWELL ST, NASHVILLE, TN 37207",36.19594,,1.0,SINGLE_FAMILY,812.0,2100.0,2.0,17.0,,USA,USD,,,20251019
-86.7577,,,/HOMEDETAILS/2502-WOODYHILL-DR-NASHVILLE-TN-37207/41082923_ZPID/,FOR_RENT,,"2502 WOODYHILL DR, NASHVILLE, TN 37207",36.209812,,1.0,SINGLE_FAMILY,1200.0,2199.0,2.0,17.0,,USA,USD,,,20251019
-86.763916,,,/HOMEDETAILS/326-MARSHALL-ST-NASHVILLE-TN-37207/41083927_ZPID/,FOR_RENT,,"326 MARSHALL ST, NASHVILLE, TN 37207",36.201054,,1.0,SINGLE_FAMILY,704.0,2399.0,2.0,19.0,1758956400000.0,USA,USD,,,20251019
-86.76606,,,/HOMEDETAILS/1336-PENNOCK-AVE-NASHVILLE-TN-37207/41084577_ZPID/,FOR_RENT,,"1336 PENNOCK AVE, NASHVILLE, TN 37207",36.196487,,1.0,SINGLE_FAMILY,1224.0,1995.0,2.0,20.0,,USA,USD,,,20251019
-86.765686,,,/HOMEDETAILS/758-COTTAGE-PARK-DR-NASHVILLE-TN-37207/248420415_ZPID/,FOR_RENT,,"758 COTTAGE PARK DR, NASHVILLE, TN 37207",36.222492,,3.0,SINGLE_FAMILY,1448.0,2400.0,2.0,20.0,,USA,USD,,,20251019
-86.757126,,,/HOMEDETAILS/2600-JONES-AVE-NASHVILLE-TN-37207/41082818_ZPID/,FOR_RENT,,"2600 JONES AVE, NASHVILLE, TN 37207",36.212017,,1.0,SINGLE_FAMILY,832.0,2200.0,2.0,23.0,1760598000000.0,USA,USD,,,20251019
-86.76134,,,/HOMEDETAILS/1121B-N-6TH-ST-B-NASHVILLE-TN-37207/2052960742_ZPID/,FOR_RENT,,"1121B N 6TH ST #B, NASHVILLE, TN 37207",36.196083,,1.0,APARTMENT,800.0,1950.0,2.0,23.0,,USA,USD,,,20251019
-86.77676,,,/HOMEDETAILS/432-ROGER-WILLIAMS-AVE-NASHVILLE-TN-37207/41082657_ZPID/,FOR_RENT,,"432 ROGER WILLIAMS AVE, NASHVILLE, TN 37207",36.212658,,2.0,TOWNHOUSE,960.0,1600.0,2.0,30.0,,USA,USD,,,20251019
-86.77278,,,/HOMEDETAILS/1017-DICKERSON-PIKE-1017-NASHVILLE-TN-37207/456594523_ZPID/,FOR_RENT,,"1017 DICKERSON PIKE #1017, NASHVILLE, TN 37207",36.18978,,3.0,TOWNHOUSE,1200.0,2700.0,2.0,39.0,,USA,USD,,,20251019
-86.766266,,,/HOMEDETAILS/3913-STILTON-DR-2-NASHVILLE-TN-37207/439783938_ZPID/,FOR_RENT,,"3913 STILTON DR #2, NASHVILLE, TN 37207",36.263447,,1.0,APARTMENT,1100.0,2350.0,1.0,47.0,1759906800000.0,USA,USD,,,20251019
