LONGITUDE,UNITS,AVAILABILITYCOUNT,DETAILURL,LISTINGSTATUS,BUILDINGNAME,ADDRESS,LATITUDE,ISBUILDING,BATHROOMS,PROPERTYTYPE,LIVINGAREA,PRICE,BEDROOMS,DAYSONZILLOW,DATEPRICECHANGED,COUNTRY,CURRENCY,BEDS,PRICE_1,INGESTION_DATE
-86.75124,,,/HOMEDETAILS/2418-INGA-ST-UNIT-A-NASHVILLE-TN-37206/440178992_ZPID/,FOR_RENT,,"2418 INGA ST UNIT A, NASHVILLE, TN 37206",36.195343,,2.0,APARTMENT,1233.0,2245.0,3.0,0.0,1762243200000.0,USA,USD,,,20251107
-86.721596,,,/HOMEDETAILS/2411-CHAPMAN-DR-NASHVILLE-TN-37206/41105009_ZPID/,FOR_RENT,,"2411 CHAPMAN DR, NASHVILLE, TN 37206",36.179245,,1.0,SINGLE_FAMILY,1464.0,2500.0,2.0,1.0,1761634800000.0,USA,USD,,,20251107
-86.75014,,27.0,/APARTMENTS/NASHVILLE-TN/THE-CLEO/CKBMD5/,FOR_RENT,THE CLEO,"1034 W EASTLAND AVE, NASHVILLE, TN",36.183807,TRUE,,,,,,,,,,1,"$1,609+",20251107
-86.727936,,,/HOMEDETAILS/300C-TILLMAN-LN-2-NASHVILLE-TN-37206/457992424_ZPID/,FOR_RENT,,"300C TILLMAN LN #2, NASHVILLE, TN 37206",36.184635,,3.0,APARTMENT,1830.0,3000.0,3.0,1.0,,USA,USD,,,20251107
-86.7248,,,/HOMEDETAILS/219-PORTER-VILLAGE-CIR-NASHVILLE-TN-37206/244081468_ZPID/,FOR_RENT,,"219 PORTER VILLAGE CIR, NASHVILLE, TN 37206",36.194252,,4.0,TOWNHOUSE,1572.0,2100.0,2.0,2.0,,USA,USD,,,20251107
-86.70444,,,/HOMEDETAILS/1603-LETHIA-DR-NASHVILLE-TN-37206/41091090_ZPID/,FOR_RENT,,"1603 LETHIA DR, NASHVILLE, TN 37206",36.19404,,1.0,TOWNHOUSE,1250.0,2200.0,3.0,3.0,,USA,USD,,,20251107
-86.736694,,,/HOMEDETAILS/1605-STRAIGHTWAY-AVE-NASHVILLE-TN-37206/41088731_ZPID/,FOR_RENT,,"1605 STRAIGHTWAY AVE, NASHVILLE, TN 37206",36.193237,,1.0,SINGLE_FAMILY,1445.0,2395.0,3.0,4.0,,USA,USD,,,20251107
-86.7464,,,/HOMEDETAILS/1035A-GRANADA-AVE-A-NASHVILLE-TN-37206/457908392_ZPID/,FOR_RENT,,"1035A GRANADA AVE #A, NASHVILLE, TN 37206",36.18834,,1.0,APARTMENT,700.0,1600.0,2.0,6.0,,USA,USD,,,20251107
-86.752686,,,/HOMEDETAILS/942-RUSSELL-ST-C-NASHVILLE-TN-37206/2068779351_ZPID/,FOR_RENT,,"942 RUSSELL ST #C, NASHVILLE, TN 37206",36.174896,,1.0,APARTMENT,950.0,1775.0,1.0,8.0,,USA,USD,,,20251107
-86.76498,,15.0,/APARTMENTS/NASHVILLE-TN/EASTSIDE-HEIGHTS/CH3FFN/,FOR_RENT,EASTSIDE HEIGHTS,"120 S 5TH ST, NASHVILLE, TN",36.171116,TRUE,,,,,,,,,,1,"$1,636+",20251107
-86.71015,,,/HOMEDETAILS/2512-COLBERT-DR-NASHVILLE-TN-37206/248418891_ZPID/,FOR_RENT,,"2512 COLBERT DR, NASHVILLE, TN 37206",36.19068,,3.0,SINGLE_FAMILY,1766.0,2675.0,3.0,14.0,1762329600000.0,USA,USD,,,20251107
-86.73143,,,/HOMEDETAILS/2027-BENJAMIN-ST-NASHVILLE-TN-37206/41103559_ZPID/,FOR_RENT,,"2027 BENJAMIN ST, NASHVILLE, TN 37206",36.186207,,2.0,SINGLE_FAMILY,1848.0,2800.0,4.0,15.0,,USA,USD,,,20251107
-86.76192,,,/HOMEDETAILS/538-FATHERLAND-ST-NASHVILLE-TN-37206/177688144_ZPID/,FOR_RENT,,"538 FATHERLAND ST, NASHVILLE, TN 37206",36.17012,,1.0,SINGLE_FAMILY,720.0,3000.0,2.0,15.0,,USA,USD,,,20251107
-86.749756,,,/HOMEDETAILS/1023-PETWAY-AVE-A-NASHVILLE-TN-37206/248419342_ZPID/,FOR_RENT,,"1023 PETWAY AVE #A, NASHVILLE, TN 37206",36.18705,,3.0,SINGLE_FAMILY,1934.0,2999.0,4.0,15.0,1762243200000.0,USA,USD,,,20251107
-86.75117,,,/HOMEDETAILS/1213-CLINE-AVE-A-NASHVILLE-TN-37206/2098211379_ZPID/,FOR_RENT,,"1213 CLINE AVE #A, NASHVILLE, TN 37206",36.19252,,1.0,APARTMENT,1095.0,1700.0,2.0,16.0,,USA,USD,,,20251107
-86.76451,,16.0,"/B/BUILDING/36.173386,-86.76451_LL/",FOR_RENT,,"2115 YEAMAN PL, NASHVILLE, TN",36.173386,TRUE,,,,,,,,,,1,"$1,700+",20251107
-86.720856,,,/HOMEDETAILS/2407-LAZENBY-DR-NASHVILLE-TN-37206/41106158_ZPID/,FOR_RENT,,"2407 LAZENBY DR, NASHVILLE, TN 37206",36.175014,,1.0,SINGLE_FAMILY,1150.0,2500.0,3.0,16.0,1759388400000.0,USA,USD,,,20251107
-86.75834,,,/APARTMENTS/NASHVILLE-TN/MOSLEY-ON-6TH/CHFYKX/,FOR_RENT,,"MOSLEY ON 6TH, 802 S 6TH ST #213404, NASHVILLE, TN 37206",36.16496,,2.0,APARTMENT,1258.0,2656.0,3.0,17.0,,USA,USD,,,20251107
-86.75594,,3.0,/APARTMENTS/NASHVILLE-TN/AMPLIFY-ON-MAIN/63FN5G/,FOR_RENT,AMPLIFY ON MAIN,"30 MCFERRIN AVE, NASHVILLE, TN",36.176857,TRUE,,,,,,,,,,2,"$2,050+",20251107
-86.73191,,,/HOMEDETAILS/1804-CAHAL-AVE-NASHVILLE-TN-37206/41089102_ZPID/,FOR_RENT,,"1804 CAHAL AVE, NASHVILLE, TN 37206",36.195343,,3.0,SINGLE_FAMILY,2280.0,2575.0,3.0,22.0,1762156800000.0,USA,USD,,,20251107
