LONGITUDE,UNITS,AVAILABILITYCOUNT,DETAILURL,LISTINGSTATUS,BUILDINGNAME,ADDRESS,LATITUDE,ISBUILDING,BATHROOMS,PROPERTYTYPE,LIVINGAREA,PRICE,BEDROOMS,DAYSONZILLOW,DATEPRICECHANGED,COUNTRY,CURRENCY,BEDS,PRICE_1,INGESTION_DATE
-86.74686,,,/APARTMENTS/NASHVILLE-TN/611-S-14TH-ST/9QDZNH/,FOR_RENT,,"611 S 14TH ST, 611 S 14TH ST UNIT B, NASHVILLE, TN 37206",36.168262,,1.0,APARTMENT,812.0,2060.0,2.0,0.0,,USA,USD,,,20251031
-86.752686,,,/HOMEDETAILS/942-RUSSELL-ST-C-NASHVILLE-TN-37206/2068779351_ZPID/,FOR_RENT,,"942 RUSSELL ST #C, NASHVILLE, TN 37206",36.174896,,1.0,APARTMENT,950.0,1775.0,1.0,1.0,,USA,USD,,,20251031
-86.76498,,19.0,/APARTMENTS/NASHVILLE-TN/EASTSIDE-HEIGHTS/CH3FFN/,FOR_RENT,EASTSIDE HEIGHTS,"120 S 5TH ST, NASHVILLE, TN",36.171116,TRUE,,,,,,,,,,1,"$1,633+",20251031
-86.76192,,,/HOMEDETAILS/538-FATHERLAND-ST-NASHVILLE-TN-37206/177688144_ZPID/,FOR_RENT,,"538 FATHERLAND ST, NASHVILLE, TN 37206",36.17012,,1.0,SINGLE_FAMILY,720.0,3000.0,2.0,8.0,,USA,USD,,,20251031
-86.75014,,27.0,/APARTMENTS/NASHVILLE-TN/THE-CLEO/CKBMD5/,FOR_RENT,THE CLEO,"1034 W EASTLAND AVE, NASHVILLE, TN",36.183807,TRUE,,,,,,,,,,1,"$1,610+",20251031
-86.75117,,,/HOMEDETAILS/1213-CLINE-AVE-A-NASHVILLE-TN-37206/2098211379_ZPID/,FOR_RENT,,"1213 CLINE AVE #A, NASHVILLE, TN 37206",36.19252,,1.0,APARTMENT,1095.0,1700.0,2.0,9.0,,USA,USD,,,20251031
-86.76451,,16.0,"/B/BUILDING/36.173386,-86.76451_LL/",FOR_RENT,,"2115 YEAMAN PL, NASHVILLE, TN",36.173386,TRUE,,,,,,,,,,1,"$1,700+",20251031
-86.75594,,3.0,/APARTMENTS/NASHVILLE-TN/AMPLIFY-ON-MAIN/63FN5G/,FOR_RENT,AMPLIFY ON MAIN,"30 MCFERRIN AVE, NASHVILLE, TN",36.176857,TRUE,,,,,,,,,,2,"$2,050+",20251031
-86.7403,,,/HOMEDETAILS/1621-RUSSELL-ST-B-NASHVILLE-TN-37206/2071562271_ZPID/,FOR_RENT,,"1621 RUSSELL ST #B, NASHVILLE, TN 37206",36.174545,,2.0,APARTMENT,1400.0,2175.0,2.0,16.0,1761548400000.0,USA,USD,,,20251031
-86.7308,,,/HOMEDETAILS/2028-GREENWOOD-CIR-A-NASHVILLE-TN-37206/457399468_ZPID/,FOR_RENT,,"2028 GREENWOOD CIR #A, NASHVILLE, TN 37206",36.189617,,1.0,APARTMENT,925.0,1625.0,2.0,16.0,1761462000000.0,USA,USD,,,20251031
